Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Yam (White)
WA,,,,70,,,#DIV/0!,272,480,16,134,,,,#DIV/0!,,,142,,143.1,,300,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142,,#DIV/0!,136.25,,100,220
OCTOBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,10,,70,100,80,240,340,350,16,125,90,100,180,460,#DIV/0!,,145,#DIV/0!,200,#DIV/0!,390,25,#DIV/0!,#DIV/0!,70,100,25,18,,195,240,220,190,600,110,200,240,200,250
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,300,#DIV/0!,14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,380,#DIV/0!,,130,#DIV/0!,140,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,50,#DIV/0!,50,40,,170,290,150,135,#DIV/0!,#DIV/0!,110,#DIV/0!,90,250
CAPECOAST,400,7,,65,100,90,280,370,150,16,180,120,170,140,500,#DIV/0!,,190,#DIV/0!,200,80,520,15,135,30,80,120,30,16,,220,290,180,160,150,40,220,450,350,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,120,320,600,15,240,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,360,12,#DIV/0!,60,120,#DIV/0!,22,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,60,200,#DIV/0!,450,#DIV/0!
KUMASI,#DIV/0!,10,,38,#DIV/0!,#DIV/0!,130,230,230,16,200,52,180,220,520,140,,160,#DIV/0!,180,#DIV/0!,500,8,86,#DIV/0!,80,#DIV/0!,36,12,,230,280,160,150,#DIV/0!,75,170,240,180,220
MANKESSIM,470,5,,53.5,95,90,180,385,340,16,190,88,148,145,450,#DIV/0!,,155,#DIV/0!,220,100,370,11,150,50,80,170,15,10,,230,300,200,180,180,40,225,375,340,300
OBUASI,120,#DIV/0!,,30,80,60,100,340,500,14,300,65,400,120,400,100,,160,100,170,80,450,12,100,#DIV/0!,70,#DIV/0!,15,8,,135,190,180,180,300,100,220,250,300,200
SUNYANI,#DIV/0!,#DIV/0!,,28,#DIV/0!,#DIV/0!,95,320,232,14,125,#DIV/0!,#DIV/0!,#DIV/0!,450,#DIV/0!,,96,#DIV/0!,185,#DIV/0!,450,7,#DIV/0!,48,70,#DIV/0!,15,10,,170,217,285,285,#DIV/0!,75,170,#DIV/0!,300,220
TAKORADI,#DIV/0!,#DIV/0!,,70,130,#DIV/0!,180,400,750,16,140,70,108,200,450,#DIV/0!,,180,#DIV/0!,240,#DIV/0!,350,20,180,60,85,#DIV/0!,18,14,,250,300,200,180,#DIV/0!,50,200,240,300,380
TAMALE,180,40,,100,70,#DIV/0!,#DIV/0!,360,136,13,80,20,120,150,380,66,,160,#DIV/0!,160,12,500,40,100,30,87,300,40,30,,220,270,180,140,#DIV/0!,#DIV/0!,160,200,100,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,245,280,15,143,#DIV/0!,#DIV/0!,#DIV/0!,380,#DIV/0!,,117,#DIV/0!,160,#DIV/0!,243,15,120,90,90,#DIV/0!,12,10,,250,280,260,260,#DIV/0!,10,160,#DIV/0!,240,200
TEMA,#DIV/0!,#DIV/0!,,60,130,#DIV/0!,100,380,450,18,#DIV/0!,70,108,200,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,320,35,#DIV/0!,60,110,#DIV/0!,30,20,,290,310,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,400,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,272,480,16,134,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142,#DIV/0!,143.1,#DIV/0!,550,#DIV/0!,109.6,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142,#DIV/0!,#DIV/0!,136.25,#DIV/0!,75,220
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,10,,70,100,80,240,340,350,16,125,90,100,180,460,#DIV/0!,,145,#DIV/0!,200,#DIV/0!,390,25,#DIV/0!,#DIV/0!,70,100,25,18,,195,240,220,190,600,110,200,240,200,250
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,300,#DIV/0!,14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,380,#DIV/0!,,130,#DIV/0!,140,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,50,#DIV/0!,50,40,,170,290,150,135,#DIV/0!,#DIV/0!,110,#DIV/0!,90,250
CAPECOAST,400,7,,65,100,90,280,370,150,16,180,120,170,140,500,#DIV/0!,,190,#DIV/0!,200,80,520,15,135,30,80,120,30,16,,220,290,180,160,150,40,220,450,350,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,120,320,600,15,240,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,360,12,#DIV/0!,60,120,#DIV/0!,22,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,60,200,#DIV/0!,450,#DIV/0!
KUMASI,#DIV/0!,10,,42,#DIV/0!,#DIV/0!,100,240,240,16,140,80,184,230,520,120,,140,#DIV/0!,180,#DIV/0!,600,8,86,#DIV/0!,75,#DIV/0!,36,12,,230,280,170,160,#DIV/0!,75,160,250,220,220
MANKESSIM,470,5,,53.5,95,90,180,385,340,16,190,88,148,145,450,#DIV/0!,,155,#DIV/0!,220,100,370,11,150,50,80,170,15,10,,230,300,200,180,180,40,225,375,340,300
OBUASI,120,#DIV/0!,,30,80,60,100,340,500,14,300,65,400,120,400,100,,160,100,170,80,450,12,100,#DIV/0!,70,#DIV/0!,15,8,,135,190,180,180,300,100,220,250,300,200
SUNYANI,#DIV/0!,#DIV/0!,,28,#DIV/0!,#DIV/0!,95,320,232,14,125,#DIV/0!,#DIV/0!,#DIV/0!,450,#DIV/0!,,96,#DIV/0!,185,#DIV/0!,450,7,#DIV/0!,48,70,#DIV/0!,15,10,,170,217,285,285,#DIV/0!,75,170,#DIV/0!,300,220
TAKORADI,#DIV/0!,10,,72,#DIV/0!,120,180,400,#DIV/0!,16,180,150,140,200,500,#DIV/0!,,160,#DIV/0!,220,#DIV/0!,350,12,180,50,80,120,22,14,,240,320,250,200,250,50,200,300,350,380
TAMALE,180,40,,100,70,#DIV/0!,#DIV/0!,340,136,15,50,12,120,156,334,66,,140,#DIV/0!,140,40,300,40,100,30,87,400,40,30,,220,270,180,140,#DIV/0!,#DIV/0!,140,180,300,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,245,280,15,143,#DIV/0!,#DIV/0!,#DIV/0!,380,#DIV/0!,,117,#DIV/0!,160,#DIV/0!,243,15,120,90,90,#DIV/0!,12,10,,250,280,260,260,#DIV/0!,10,160,#DIV/0!,240,200
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,550,450,18,300,120,134,270,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,400,30,#DIV/0!,60,110,#DIV/0!,25,15,,300,212,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,450,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,233,480,16,116.7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142,#DIV/0!,143.1,#DIV/0!,450,#DIV/0!,109.6,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142,#DIV/0!,#DIV/0!,136.25,#DIV/0!,75,220
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,10,,70,100,80,240,340,350,16,125,90,100,180,460,#DIV/0!,,145,#DIV/0!,200,#DIV/0!,390,25,#DIV/0!,#DIV/0!,70,100,25,18,,195,240,220,190,600,110,200,240,200,250
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,300,#DIV/0!,14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,380,#DIV/0!,,130,#DIV/0!,140,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,50,#DIV/0!,50,40,,170,290,150,135,#DIV/0!,#DIV/0!,110,#DIV/0!,90,250
CAPECOAST,400,7,,65,100,90,280,370,150,16,180,120,170,140,500,#DIV/0!,,190,#DIV/0!,200,80,520,15,135,30,80,120,30,16,,220,290,180,160,150,40,220,450,350,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,120,320,600,15,240,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,360,12,#DIV/0!,60,120,#DIV/0!,22,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,60,200,#DIV/0!,450,#DIV/0!
KUMASI,#DIV/0!,10,,42,#DIV/0!,#DIV/0!,100,240,240,16,140,80,184,230,520,120,,140,#DIV/0!,180,#DIV/0!,600,8,86,#DIV/0!,75,#DIV/0!,36,12,,230,280,170,160,#DIV/0!,75,160,250,220,220
MANKESSIM,470,5,,53.5,95,90,180,385,340,16,190,88,148,145,450,#DIV/0!,,155,#DIV/0!,220,100,370,11,150,50,80,170,15,10,,230,300,200,180,180,40,225,375,340,300
OBUASI,120,#DIV/0!,,30,80,60,100,340,500,14,300,65,400,120,400,100,,160,100,170,80,450,12,100,#DIV/0!,70,#DIV/0!,15,8,,135,190,180,180,300,100,220,250,300,200
SUNYANI,#DIV/0!,#DIV/0!,,28,#DIV/0!,#DIV/0!,95,320,232,14,125,#DIV/0!,#DIV/0!,#DIV/0!,450,#DIV/0!,,96,#DIV/0!,185,#DIV/0!,450,7,#DIV/0!,48,70,#DIV/0!,15,10,,170,217,285,285,#DIV/0!,75,170,#DIV/0!,300,220
TAKORADI,#DIV/0!,10,,72,#DIV/0!,120,180,400,#DIV/0!,16,180,150,140,200,500,#DIV/0!,,160,#DIV/0!,220,#DIV/0!,350,12,180,50,80,120,22,14,,240,320,250,200,250,50,200,300,350,380
TAMALE,180,40,,100,70,#DIV/0!,#DIV/0!,340,136,15,50,12,120,156,334,66,,140,#DIV/0!,140,40,300,40,100,30,87,400,40,30,,220,270,180,140,#DIV/0!,#DIV/0!,140,180,300,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,245,280,15,143,#DIV/0!,#DIV/0!,#DIV/0!,380,#DIV/0!,,117,#DIV/0!,160,#DIV/0!,243,15,120,90,90,#DIV/0!,12,10,,250,280,260,260,#DIV/0!,10,160,#DIV/0!,240,200
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,550,450,18,300,120,134,270,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,400,30,#DIV/0!,60,110,#DIV/0!,25,15,,300,212,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,450,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,233,480,16,116.7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142,#DIV/0!,143.1,#DIV/0!,450,#DIV/0!,109.6,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142,#DIV/0!,#DIV/0!,136.25,#DIV/0!,75,220
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,10,,70,100,80,240,340,350,16,125,90,100,180,460,#DIV/0!,,145,#DIV/0!,200,#DIV/0!,390,25,#DIV/0!,#DIV/0!,70,100,25,18,,195,240,220,190,600,110,200,240,200,250
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,270,#DIV/0!,14,#DIV/0!,#DIV/0!,95,#DIV/0!,325,50,,120,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,100,#DIV/0!,150,325
CAPECOAST,400,8.5,,70,100,90,280,370,150,16,170,110,170,140,400,#DIV/0!,,190,#DIV/0!,200,80,550,15,135,30,80,130,28,15,,220,290,180,160,150,40,220,450,380,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,50,#DIV/0!,#DIV/0!,120,320,600,17,100,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,380,10,#DIV/0!,60,120,#DIV/0!,19,10,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,45,320,#DIV/0!,550,#DIV/0!
KUMASI,#DIV/0!,10,,42,#DIV/0!,#DIV/0!,100,240,240,16,140,80,184,230,520,120,,140,#DIV/0!,180,#DIV/0!,600,8,86,#DIV/0!,75,#DIV/0!,36,12,,230,280,170,160,#DIV/0!,75,160,250,220,220
MANKESSIM,465,4.6,,52,95,95,185,385,320,16,150,73,150,155,470,#DIV/0!,,170,#DIV/0!,225,72,400,11,150,49,85,160,14.5,9,,230,300,200,185,200,40,230,375,350,285
OBUASI,120,#DIV/0!,,30,80,60,100,500,600,16,300,80,400,250,400,100,,180,100,170,75,500,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,400,400
SUNYANI,#DIV/0!,#DIV/0!,,30,#DIV/0!,#DIV/0!,85,270,175,14,80,#DIV/0!,#DIV/0!,#DIV/0!,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,400,10,#DIV/0!,48,60,#DIV/0!,10,7,,199,201,260,260,#DIV/0!,70,160,#DIV/0!,300,350
TAKORADI,#DIV/0!,12,,75,100,120,180,400,#DIV/0!,17,180,100,140,160,500,#DIV/0!,,165,#DIV/0!,220,65,380,15,180,50,85,220,30,24,,240,320,250,200,250,45,200,250,350,380
TAMALE,180,40,,100,70,#DIV/0!,#DIV/0!,340,136,15,50,12,120,156,334,66,,140,#DIV/0!,140,40,300,40,100,30,87,400,40,30,,220,270,180,140,#DIV/0!,#DIV/0!,140,180,300,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,243,280,15,113,#DIV/0!,#DIV/0!,#DIV/0!,400,#DIV/0!,,108,#DIV/0!,160,#DIV/0!,243,10,120,50,90,#DIV/0!,15,10,,260,290,260,260,#DIV/0!,90,160,#DIV/0!,250,200
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,550,450,18,300,150,135,270,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,450,35,#DIV/0!,60,110,#DIV/0!,30,20,,212,300,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,550,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,233,480,16,116.7,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142,#DIV/0!,143.1,#DIV/0!,450,#DIV/0!,109.6,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142,#DIV/0!,#DIV/0!,136.25,#DIV/0!,75,220
5TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,6,,60,100,88,240,380,420,16,120,120,120,280,500,#DIV/0!,,155,#DIV/0!,200,#DIV/0!,320,24,#DIV/0!,#DIV/0!,75,130,15,10,,195,240,220,190,200,45,190,300,650,300
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,14,#DIV/0!,#DIV/0!,100,#DIV/0!,400,50,,112,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,100,#DIV/0!,150,350
CAPECOAST,400,7,,65,100,90,300,370,150,16,170,100,170,140,450,#DIV/0!,,170,#DIV/0!,200,80,600,15,135,30,80,130,25,14,,220,290,180,160,150,40,220,450,500,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,120,320,600,15,240,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,360,12,#DIV/0!,60,120,#DIV/0!,22,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,60,200,#DIV/0!,450,#DIV/0!
KUMASI,#DIV/0!,10,,38,#DIV/0!,#DIV/0!,100,240,240,16,100,75,180,210,520,120,,140,#DIV/0!,180,#DIV/0!,620,7.5,84,#DIV/0!,75,#DIV/0!,36,12,,200,260,160,150,#DIV/0!,80,170,240,200,230
MANKESSIM,470,5,,47.5,95,95,200,380,300,16,125,68,147,145,470,#DIV/0!,,175,#DIV/0!,225,67,490,10,150,50,85,150,15,9.5,,230,295,200,185,200,40,230,375,480,300
OBUASI,120,#DIV/0!,,30,80,60,100,500,600,16,300,80,400,250,400,100,,180,100,170,75,500,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,400,400
SUNYANI,#DIV/0!,#DIV/0!,,30,#DIV/0!,#DIV/0!,85,270,200,14,60,#DIV/0!,#DIV/0!,#DIV/0!,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,500,10,#DIV/0!,48,60,#DIV/0!,9,7,,199,201,260,260,#DIV/0!,75,165,#DIV/0!,450,350
TAKORADI,#DIV/0!,12,,75,100,120,180,400,#DIV/0!,17,180,100,140,160,500,#DIV/0!,,165,#DIV/0!,220,65,380,15,180,50,85,220,30,24,,240,320,250,200,250,45,200,250,350,380
TAMALE,#DIV/0!,30,,70,70,#DIV/0!,150,360,136,14,40,12,120,150,320,72,,140,#DIV/0!,160,40,600,20,100,30,87,400,20,20,,220,270,140,130,#DIV/0!,#DIV/0!,160,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,220,280,15,38,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,108,#DIV/0!,140,#DIV/0!,268,8,130,50,90,#DIV/0!,15,10,,250,300,250,250,#DIV/0!,50,150,#DIV/0!,230,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,550,450,18,300,120,134,250,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,400,30,#DIV/0!,60,110,#DIV/0!,25,15,,212,300,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,450,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,233.6,480,16,134,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,161,#DIV/0!,600,19,109.6,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,165,160
NOVEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,6,,60,100,88,240,380,420,16,120,120,120,280,500,#DIV/0!,,155,#DIV/0!,200,#DIV/0!,320,24,#DIV/0!,#DIV/0!,75,130,15,10,,195,240,220,190,200,45,190,300,650,300
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,14,#DIV/0!,#DIV/0!,100,#DIV/0!,400,50,,112,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,100,#DIV/0!,150,350
CAPECOAST,400,7,,65,100,90,300,370,150,16,170,100,170,140,450,#DIV/0!,,170,#DIV/0!,200,80,600,15,135,30,80,130,25,14,,220,290,180,160,150,40,220,450,500,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,120,320,600,15,240,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,360,12,#DIV/0!,60,120,#DIV/0!,22,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,60,200,#DIV/0!,450,#DIV/0!
KUMASI,#DIV/0!,10,,38,#DIV/0!,#DIV/0!,100,240,240,16,100,75,180,210,520,120,,140,#DIV/0!,180,#DIV/0!,620,7.5,84,#DIV/0!,75,#DIV/0!,36,12,,200,260,160,150,#DIV/0!,80,170,240,200,230
MANKESSIM,470,5,,47.5,95,95,200,380,300,16,125,68,147,145,470,#DIV/0!,,175,#DIV/0!,225,67,490,10,150,50,85,150,15,9.5,,230,295,200,185,200,40,230,375,480,300
OBUASI,120,#DIV/0!,,30,80,60,100,500,600,16,300,80,400,250,400,100,,180,100,170,75,500,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,400,400
SUNYANI,#DIV/0!,#DIV/0!,,30,#DIV/0!,#DIV/0!,85,270,200,14,60,#DIV/0!,#DIV/0!,#DIV/0!,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,500,10,#DIV/0!,48,60,#DIV/0!,9,7,,199,201,260,260,#DIV/0!,75,165,#DIV/0!,450,350
TAKORADI,#DIV/0!,12,,75,100,120,180,400,#DIV/0!,17,180,100,140,160,500,#DIV/0!,,165,#DIV/0!,220,65,380,15,180,50,85,220,30,24,,240,320,250,200,250,45,200,250,350,380
TAMALE,#DIV/0!,30,,70,70,#DIV/0!,150,360,136,14,40,12,120,150,320,72,,140,#DIV/0!,160,40,600,20,100,30,87,400,20,20,,220,270,140,130,#DIV/0!,#DIV/0!,160,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,220,280,15,38,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,108,#DIV/0!,140,#DIV/0!,268,8,130,50,90,#DIV/0!,15,10,,250,300,250,250,#DIV/0!,50,150,#DIV/0!,230,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,550,450,18,300,120,134,250,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,400,30,#DIV/0!,60,110,#DIV/0!,25,15,,212,300,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,450,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,233.6,480,16,134,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,161,#DIV/0!,600,19,109.6,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,165,160
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
